feature,importance
EngagementScore,0.04934694
TotalDuration,0.046073686
SessionIntensity,0.04512185
Administrative_Duration,0.044636842
TotalPages,0.044356916
BounceRates,0.044183742
ProductRelated_Duration,0.04411447
ExitRates,0.0435632
ProductFocusRatio,0.043088265
Informational_Duration,0.04274541
PageValues,0.04179047
ProductRelated,0.040138133
BounceFlag,0.040131167
TrafficType,0.040051296
ExitFlag,0.039696313
VisitorType,0.039648537
OperatingSystems,0.039372627
Administrative,0.03922337
Weekend,0.03922272
Region,0.039153133
Month,0.039063133
Informational,0.03864903
Browser,0.03852579
SpecialDay,0.03810299
